,Year,State Code,State Name,Dist Name,TOTAL FERTILISER CONSUMPTION (tons),TOTAL PRODUCTION,TOTAL YIELD,TOTAL CONSUMPTION
0,1990,14,Chhattisgarh,Durg,19525.0,521.799992322,2630.0,19525.0
1,1991,14,Chhattisgarh,Durg,25799.0,555.100005246,4213.0,25799.0
2,1992,14,Chhattisgarh,Durg,32123.0,555.199999193,5022.0,32123.0
3,1993,14,Chhattisgarh,Durg,25676.0,612.699975601,5613.0,25676.0
4,1994,14,Chhattisgarh,Durg,28759.0,650.800013755,4124.0,28759.0
5,1995,14,Chhattisgarh,Durg,28759.0,673.399974817,4129.0,28759.0
6,1996,14,Chhattisgarh,Durg,28759.0,655.0999756150001,5246.0,28759.0
7,1997,14,Chhattisgarh,Durg,38191.0,570.600024069,4333.0,38191.0
8,1998,14,Chhattisgarh,Durg,35454.0,394.499999243,4534.0,35454.0
9,1999,14,Chhattisgarh,Durg,40677.0,651.089974954,21336.0,40677.0
10,2000,14,Chhattisgarh,Durg,36838.0,254.68999789699998,2526.0,36838.0
11,2001,14,Chhattisgarh,Durg,38527.0,656.919983171,4255.0,38527.0
12,2002,14,Chhattisgarh,Durg,32786.0,280.180004891,2740.0,32786.0
13,2003,14,Chhattisgarh,Durg,33457.0,798.450004908,4367.0,33457.0
14,2004,14,Chhattisgarh,Durg,49844.0,680.499979679,3685.0,49844.0
15,2005,14,Chhattisgarh,Durg,51916.0,680.499979679,3685.0,51916.0
16,2006,14,Chhattisgarh,Durg,67936.0,823.5899877510001,4064.0,67936.0
17,2007,14,Chhattisgarh,Durg,66262.0,833.029998507,4320.0,66262.0
18,2008,14,Chhattisgarh,Durg,70674.0,506.289983853,3564.0,70674.0
19,2009,14,Chhattisgarh,Durg,86856.0,455.660000621,3865.0,86856.0
20,2010,14,Chhattisgarh,Durg,93572.0,900.120022875,6508.0,93572.0
21,2011,14,Chhattisgarh,Durg,84755.0,265.060004387,4175.0,84755.0
22,2012,14,Chhattisgarh,Durg,31812.0,317.66999418399996,3830.0,31812.0
23,2013,14,Chhattisgarh,Durg,29353.0,268.469997235,3076.0,29353.0
24,2014,14,Chhattisgarh,Durg,36553.0,261.560002255,3459.0,36553.0
25,2015,14,Chhattisgarh,Durg,39754.0,185.35000563999998,2427.0,39754.0
26,1990,14,Chhattisgarh,Bastar,3167.0,563.9000244,5111.0,3167.0
27,1991,14,Chhattisgarh,Bastar,4600.0,625.7999878,4690.0,4600.0
28,1992,14,Chhattisgarh,Bastar,5552.0,535.3999877640001,4898.0,5552.0
29,1993,14,Chhattisgarh,Bastar,4917.0,605.800012201,6297.0,4917.0
30,1994,14,Chhattisgarh,Bastar,5886.0,606.200000025,5622.0,5886.0
31,1995,14,Chhattisgarh,Bastar,5886.0,591.399975649,6169.0,5886.0
32,1996,14,Chhattisgarh,Bastar,5886.0,673.100000001,5891.0,5886.0
33,1997,14,Chhattisgarh,Bastar,10788.0,456.999999977,5810.0,10788.0
34,1998,14,Chhattisgarh,Bastar,2968.0,171.599993903,6175.0,2968.0
35,1999,14,Chhattisgarh,Bastar,3339.0,294.369986621,5390.0,3339.0
36,2000,14,Chhattisgarh,Bastar,5621.0,213.86000730099997,2650.0,5621.0
37,2001,14,Chhattisgarh,Bastar,4193.0,386.589991499,3914.0,4193.0
38,2002,14,Chhattisgarh,Bastar,3241.0,129.19000550799998,2691.0,3241.0
39,2003,14,Chhattisgarh,Bastar,3483.0,440.18000728899995,4144.0,3483.0
40,2004,14,Chhattisgarh,Bastar,4727.0,327.86999758699994,3623.0,4727.0
41,2005,14,Chhattisgarh,Bastar,7272.0,327.86999758699994,3623.0,7272.0
42,2006,14,Chhattisgarh,Bastar,9538.0,350.650004924,3435.0,9538.0
43,2007,14,Chhattisgarh,Bastar,6500.0,346.299989013,4118.0,6500.0
44,2008,14,Chhattisgarh,Bastar,7495.0,281.17998662199994,3681.0,7495.0
45,2009,14,Chhattisgarh,Bastar,12895.0,279.56998782999995,4192.0,12895.0
46,2010,14,Chhattisgarh,Bastar,13766.0,426.699992673,2929.0,13766.0
47,2011,14,Chhattisgarh,Bastar,12592.0,145.89999760400002,2567.0,12592.0
48,2012,14,Chhattisgarh,Bastar,10809.0,245.289996904,3422.0,10809.0
49,2013,14,Chhattisgarh,Bastar,9133.0,229.71999761200001,2843.0,9133.0
50,2014,14,Chhattisgarh,Bastar,8352.0,242.169995698,3721.0,8352.0
51,2015,14,Chhattisgarh,Bastar,9924.0,107.490002399,1988.0,9924.0
52,1990,14,Chhattisgarh,Raipur,52952.0,1171.800000012,5915.0,52952.0
53,1991,14,Chhattisgarh,Raipur,49284.0,1238.920049201,7105.0,49284.0
54,1992,14,Chhattisgarh,Raipur,58310.0,1406.6100485959998,7528.0,58310.0
55,1993,14,Chhattisgarh,Raipur,68598.0,1424.399976011,6225.0,68598.0
56,1994,14,Chhattisgarh,Raipur,76671.0,1326.3999997390001,6034.0,76671.0
57,1995,14,Chhattisgarh,Raipur,76671.0,1336.300024451,5994.0,76671.0
58,1996,14,Chhattisgarh,Raipur,76671.0,1469.200049392,7188.0,76671.0
59,1997,14,Chhattisgarh,Raipur,85775.0,1032.70001212,5470.0,85775.0
60,1998,14,Chhattisgarh,Raipur,50923.0,372.30000620699997,4772.0,50923.0
61,1999,14,Chhattisgarh,Raipur,51643.0,771.710002381,6082.0,51643.0
62,2000,14,Chhattisgarh,Raipur,45588.0,211.68000068000003,2060.0,45588.0
63,2001,14,Chhattisgarh,Raipur,46413.0,623.789999862,3385.0,46413.0
64,2002,14,Chhattisgarh,Raipur,41919.0,392.02000141,2619.0,41919.0
65,2003,14,Chhattisgarh,Raipur,42552.0,721.1199954849999,3606.0,42552.0
66,2004,14,Chhattisgarh,Raipur,57548.0,632.479997465,3606.0,57548.0
67,2005,14,Chhattisgarh,Raipur,90803.0,632.479997465,3606.0,90803.0
68,2006,14,Chhattisgarh,Raipur,107019.0,813.639982847,4080.0,107019.0
69,2007,14,Chhattisgarh,Raipur,125000.0,837.8699935309999,4378.0,125000.0
70,2008,14,Chhattisgarh,Raipur,100629.0,719.3999763129999,3244.0,100629.0
71,2009,14,Chhattisgarh,Raipur,123569.0,786.980027717,3709.0,123569.0
72,2010,14,Chhattisgarh,Raipur,140610.0,683.9500246279999,4274.0,140610.0
73,2011,14,Chhattisgarh,Raipur,174310.0,224.459995757,4679.0,174310.0
74,2012,14,Chhattisgarh,Raipur,83938.0,382.15998561000004,4712.0,83938.0
